Date,Tax Type,Jammu and Kashmir,Himachal Pradesh,Punjab,Chandigarh,Uttarakhand,Haryana,Delhi,Rajasthan,Uttar Pradesh,Bihar,Sikkim,Arunachal Pradesh,Nagaland,Manipur,Mizoram,Tripura,Meghalaya,Assam,West Bengal,Jharkhand,Odisha,Chhattisgarh,Madhya Pradesh,Gujarat,Daman and Diu,Dadra and Nagar Haveli,Maharashtra,Karnataka,Goa,Lakshadweep,Kerala,Tamil Nadu,Ladakh,Puducherry,Andaman and Nicobar Islands,Telangana,Andhra Pradesh,Grand Total,Year Range
01-09-2017 00:00,IGST,107.0046987,518.7155355,507.0273913,70.9854633,998.8076825,3181.087804,1535.08869,833.4802484,1381.102682,79.1676495,144.9885679,2.5031578,4.3991382,1.030487,0.6004941,3.2922823,39.9446433,234.0437706,670.448762,697.3379461,468.1122345,396.9727713,533.0718753,2143.813902,89.7067001,149.2701537,4162.277865,1941.215078,163.5575162,0.0330922,243.7141071,1972.813173,0,131.5093509,0.7368503,863.2098867,718.7253476,24989.797,2018
01-09-2017 00:00,CESS,4.9174581,1.6695002,13.8748551,1.0305238,14.9510509,363.2573364,103.2070814,157.7806164,1085.929235,203.8547334,0.021738,0.031088,0.1252345,0.1762757,0.0030126,0.4943979,0.0877787,31.8083525,259.3098795,437.8553404,465.5641216,634.3374163,414.1380052,298.1094347,0.038772,0.1676095,945.8839657,838.4432437,2.5827283,0,13.550647,503.2749772,0,0.4137022,0.0048435,484.6779964,19.9317978,7301.50475,2018
01-10-2017 00:00,CGST,63.3886318,70.7707847,263.7973041,29.2535349,143.495501,700.0331862,760.1582121,530.7812222,928.4177549,140.7975165,10.1599464,4.1603256,3.7316848,6.3141829,3.9285331,23.6197302,10.5978214,147.9283862,693.8690517,230.019568,321.877051,220.9332513,355.1400687,1400.765041,8.5077103,13.5996626,3559.815753,1283.334474,69.238695,0.2814887,458.2358864,1457.134805,0,19.8701837,8.0031668,565.1486363,435.1613646,14942.27012,2018
01-10-2017 00:00,SGST,113.1769893,133.4158849,477.6332186,42.090451,278.7185118,1144.462912,1069.145387,808.6595783,1477.134106,307.7135492,13.3563709,6.0482555,5.6854134,12.2637581,5.5474912,30.5417721,16.6892574,237.6757831,1042.514896,347.4802524,529.8636098,306.2298227,577.0680647,1880.764147,14.5072588,19.9066628,4938.898106,1921.921813,105.5068068,0.3034568,736.9031991,2132.286128,0,31.5345153,9.850591,847.6089539,701.8627135,22324.96969,2018
01-10-2017 00:00,IGST,108.0590888,494.6760923,522.0936516,72.2341059,1240.617483,2849.561136,1588.953375,759.746047,1340.508301,65.0183806,116.7161794,2.2221834,5.1685774,0.9216,0.9857878,2.8925238,38.0438078,200.2854649,708.6719041,715.4549019,481.1433503,479.9310026,587.7755167,2286.679659,105.4050259,130.7375641,4765.380308,2232.160811,168.5188808,0.0175332,254.3527239,1913.915604,0,91.3391566,0.7024026,853.9596985,670.8374297,25855.68726,2018
01-10-2017 00:00,CESS,3.0859659,1.526841,13.4868215,1.0320485,22.9700581,369.1547677,108.5730676,156.5467211,930.6533253,131.6292909,0.0824302,0.2124745,0.1210034,0.0076376,0.003046,0.1597283,0.1013994,38.6627404,339.5156237,453.733479,468.0496865,547.9893487,407.2407795,314.5823328,0.0373457,0.1682929,1056.365278,811.0865067,2.9374754,0,7.6496259,589.6108834,0,1.4895202,0.0385945,492.0375778,20.7225897,7291.264308,2018
01-11-2017 00:00,CGST,66.2722073,70.4894807,246.0283466,30.3327115,143.5299044,641.9689845,678.4513938,537.6355515,838.1159826,142.1780455,10.3555713,2.9760469,3.4817673,4.1425509,2.8708997,12.8833166,11.8964807,150.313475,592.8964438,206.7246731,308.6230328,209.8169432,363.7110394,1330.455118,7.9587186,12.0711184,3206.986064,1151.035635,81.772817,0.7856989,410.373559,1288.158374,0,20.5865061,10.1989385,496.8067885,389.3839969,13682.26818,2018
01-11-2017 00:00,SGST,120.3191505,117.7803226,442.972691,45.769783,306.8650423,1063.172504,951.4917252,764.6607497,1358.367119,285.1687413,13.7514957,4.8619124,5.4643981,6.3741586,4.8300563,19.4296206,16.3152954,227.8467851,1000.505946,333.9569205,444.0246555,302.3957406,586.4551646,1748.090068,13.3390602,17.9835094,4347.124949,1709.717595,114.9708295,0.7963411,611.5182772,1912.974166,0,31.7293649,11.6312605,750.6218661,588.8938348,20282.1711,2018
01-11-2017 00:00,IGST,99.5263588,460.0816994,504.9265183,68.621873,763.447361,2589.708088,1489.960372,738.8477696,1197.479312,76.0279923,121.7360628,3.3720839,3.442954,0.917096,0.7375456,2.7030413,32.7171726,226.8357381,654.3147226,830.1929823,523.6076137,467.7930872,498.7949315,1984.658907,110.38563,123.0788137,3866.245291,1755.078232,145.4149913,0.063788,215.7361486,1494.642314,0,121.9418308,1.2651304,806.4714449,669.2892002,22650.0641,2018
01-11-2017 00:00,CESS,12.8260461,1.0529294,11.141439,0.5781229,24.2708336,373.7211381,111.6422445,141.3585889,774.1086084,88.9309094,0.1038882,0.0047405,0.0585417,0.01029,0.0415421,0.2812697,0.0902769,49.072243,210.1901068,437.4339982,508.1315322,523.724179,424.9983348,324.1346697,0.0255868,0.2449191,852.7625303,580.2532564,2.4837577,0,11.9017425,539.9400765,0,0.1471456,0.034672,394.1019608,20.0133378,6419.815459,2018
01-12-2017 00:00,CGST,86.142899,74.2430206,225.9003431,26.7971481,132.3868362,603.4348612,646.2670028,546.2879059,843.2835169,139.5784416,6.5300783,3.3338212,2.6150402,4.3885888,2.03856,9.9120009,8.8156363,135.8073936,635.1159203,216.8293941,301.5673699,233.065618,416.8843742,1386.722706,7.1524445,12.8451424,3359.868522,1219.433408,73.4841248,0.3728259,395.6868606,1229.725069,0,16.8955552,5.594326,520.4436571,390.4956534,13919.94607,2018
01-12-2017 00:00,SGST,143.6735231,109.6777523,390.4142429,37.616728,263.5000102,968.1960336,859.8083838,746.4758344,1318.655099,264.5212867,10.1906709,6.2736679,4.2709018,8.5234861,3.5504333,16.6564986,15.1194026,196.8673456,957.50005,328.4543632,400.6833278,303.6996531,599.0867099,1790.22659,11.9427639,19.0840561,4361.436623,1684.994034,111.9359493,0.3793883,608.4615049,1796.314307,0,27.785919,8.1511069,741.2057362,572.8846597,19688.21804,2018
01-12-2017 00:00,IGST,83.9737685,432.6197533,455.6850695,67.4608466,778.4923313,2168.485784,1450.76707,723.166541,1220.752083,87.7974213,147.0029012,2.144711,2.9993353,0.728712,0.9082906,2.7897115,46.2642172,207.1319712,703.8664256,739.069077,505.7363892,445.1334545,491.6934542,1894.126181,70.1402989,112.1675056,4151.06509,1760.638467,128.1888655,0.0469209,238.6630532,1460.75257,0,116.3749983,1.0184938,714.7991656,608.7211527,22021.37208,2018
